"gene_id","gene_name"
"metE",NA
"ysgA",NA
"udp",NA
"rfaH",NA
"fadB",NA
"ileT",NA
"alaT",NA
"rrlA",NA
"dsbA",NA
"yihF",NA
"yihG",NA
"typA",NA
"yihX",NA
"yihY",NA
"dtd",NA
"yiiD",NA
"yiiG",NA
"sodA",NA
"cpxA",NA
"cpxR",NA
"cpxP",NA
"sbp",NA
"cdh",NA
"yiiS",NA
"uspD",NA
"glpK",NA
"glpF",NA
"hslU",NA
"hslV",NA
"cytR",NA
"rpmE",NA
"metJ",NA
"metB",NA
"metL",NA
"metF",NA
"katG",NA
"yijF",NA
"ppc",NA
"argE",NA
"argC",NA
"argB",NA
"argH",NA
"sthA",NA
"tyrU",NA
"glyT",NA
"thrT",NA
"rplK",NA
"rplA",NA
"rplJ",NA
"rplL",NA
"yjaZ",NA
"thiH",NA
"thiG",NA
"thiS",NA
"thiF",NA
"thiE",NA
"thiC",NA
"rsd",NA
"hupA",NA
"purD",NA
"purH",NA
"metA",NA
"aceB",NA
"aceA",NA
"espL4",NA
"metH",NA
"ECs4945","ECs4945"
"ECs4981","ECs4981"
"ECs4996","ECs4996"
"pgi",NA
"malG",NA
"malF",NA
"malE",NA
"malK",NA
"lamB",NA
"yjbJ",NA
"tyrB",NA
"ECs5773","ECs5773"
"aphA",NA
"yjbQ",NA
"yjbR",NA
"yjcB",NA
"ghxQ",NA
"actP",NA
"yjcH",NA
"acs",NA
"gltP",NA
"ECs5067","ECs5067"
"pfkB",NA
"ECs5069","ECs5069"
"yjdP",NA
"phnP",NA
"phnO",NA
"yjdN",NA
"proP",NA
"adiY",NA
"melR",NA
"yjdI",NA
"ECs5109","ECs5109"
"cadB",NA
"yjdC",NA
"aspA",NA
"fxsA",NA
"groS",NA
"groL",NA
"ecnA",NA
"ecnB",NA
"sugE",NA
"blc",NA
"frdD",NA
"frdC",NA
"frdB",NA
"frdA",NA
"epmA",NA
"yjeM",NA
"glyX",NA
"glyY",NA
"miaA",NA
"yjeT",NA
"nsrR",NA
"rnr",NA
"rlmB",NA
"aidB",NA
"yjfN",NA
"bsmA",NA
"ulaA",NA
"ulaB",NA
"yjfY",NA
"rpsF",NA
"priB",NA
"rpsR",NA
"rplI",NA
"yjfZ",NA
"cysQ",NA
"ytfK",NA
"msrA",NA
"ytfQ",NA
"ytfR",NA
"ytfT",NA
"yjfF",NA
"fbp",NA
"cybC",NA
"nrdD",NA
"ridA",NA
"pyrI",NA
"pyrB",NA
"ECs5224","ECs5224"
"yjgH",NA
"argI",NA
"yjgR",NA
"ahr",NA
"leuX",NA
"ECs5242","ECs5242"
"ECs5259","ECs5259"
"ECs5260","ECs5260"
"ECs5266","ECs5266"
"yjhT",NA
"nanC",NA
"fimE",NA
"iraD",NA
"yjiJ",NA
"yjiM",NA
"yjiN",NA
"mdtM",NA
"yjiR",NA
"symE",NA
"hsdS",NA
"hsdM",NA
"yjiA",NA
"lgoR",NA
"fhuF",NA
"yjjZ",NA
"holD",NA
"osmY",NA
"ytjA",NA
"yjjU",NA
"deoA",NA
"slt",NA
"trpR",NA
"arcA",NA
